City,Month,AQI,Range,Quality level,PM2.5,PM10,CO,SO2,NO2,O3,Unnamed: 11
Beijing,2014-01-01,125.0,26~402,light pollution,94.0,123.0,1.948,51.0,65.0,37.0,
Beijing,2014-02-01,184.0,33~428,moderately pollution,148.0,155.0,2.171,56.0,69.0,42.0,
Beijing,2014-03-01,130.0,35~319,light pollution,94.0,138.0,1.39,34.0,62.0,83.0,
Beijing,2014-04-01,127.0,65~279,light pollution,89.0,145.0,0.927,16.0,57.0,129.0,
Beijing,2014-05-01,107.0,46~205,light pollution,61.0,118.0,0.839,15.0,47.0,149.0,
Beijing,2014-06-01,116.0,50~179,light pollution,54.0,74.0,0.79,6.0,39.0,168.0,
Beijing,2014-07-01,140.0,39~252,light pollution,89.0,100.0,0.939,6.0,39.0,170.0,
Beijing,2014-08-01,120.0,46~200,light pollution,62.0,88.0,0.839,5.0,43.0,172.0,
Beijing,2014-09-01,99.0,43~200,good,65.0,88.0,0.983,6.0,49.0,106.0,
Beijing,2014-10-01,154.0,28~381,moderately pollution,118.0,148.0,1.339,9.0,70.0,54.0,
Beijing,2014-11-01,117.0,29~342,light pollution,86.0,127.0,1.567,16.0,65.0,37.0,
Beijing,2014-12-01,86.0,21~267,good,58.0,95.0,1.552,28.0,53.0,42.0,
Beijing,2015-01-01,126.0,28~378,light pollution,97.0,120.0,1.91,34.0,66.0,39.0,
Beijing,2015-02-01,127.0,36~334,light pollution,93.0,114.0,1.457,26.0,51.0,60.0,
Beijing,2015-03-01,127.0,40~281,light pollution,86.0,146.0,1.194,20.0,53.0,87.0,
Beijing,2015-04-01,107.0,38~212,light pollution,71.0,118.0,0.76,9.0,43.0,124.0,
Beijing,2015-05-01,105.0,42~203,light pollution,55.0,97.0,0.745,8.0,37.0,153.0,
Beijing,2015-06-01,111.0,35~231,light pollution,60.0,70.0,1.303,6.0,35.0,156.0,
Beijing,2015-07-01,122.0,41~200,light pollution,61.0,74.0,0.823,4.0,35.0,177.0,
Beijing,2015-08-01,104.0,37~202,light pollution,45.0,66.0,0.79,3.0,31.0,159.0,
Beijing,2015-09-01,83.0,34~201,good,50.0,59.0,0.837,5.0,43.0,109.0,
Beijing,2015-10-01,106.0,27~344,light pollution,74.0,86.0,0.955,6.0,55.0,74.0,
Beijing,2015-11-01,153.0,37~450,moderately pollution,119.0,85.0,1.983,12.0,62.0,25.0,
Beijing,2015-12-01,187.0,23~485,moderately pollution,152.0,172.0,2.865,20.0,76.0,26.0,
Beijing,2016-01-01,97.0,32~316,good,68.0,88.0,1.584,20.0,53.0,42.0,
Beijing,2016-02-01,71.0,34~238,good,44.0,59.0,0.903,15.0,35.0,68.0,
Beijing,2016-03-01,132.0,37~365,light pollution,93.0,136.0,1.229,18.0,57.0,79.0,
Beijing,2016-04-01,106.0,43~209,light pollution,69.0,118.0,0.803,10.0,44.0,116.0,
Beijing,2016-05-01,111.0,49~234,light pollution,54.0,90.0,0.665,8.0,38.0,160.0,
Beijing,2016-06-01,126.0,50~189,light pollution,59.0,70.0,0.767,5.0,35.0,183.0,
Beijing,2016-07-01,118.0,40~177,light pollution,69.0,74.0,0.916,3.0,33.0,159.0,
Beijing,2016-08-01,94.0,34~179,good,47.0,60.0,0.832,3.0,35.0,135.0,
Beijing,2016-09-01,86.0,0~211,good,55.0,73.0,0.76,3.0,43.0,104.0,
Beijing,2016-10-01,116.0,29~292,light pollution,85.0,101.0,1.155,4.0,56.0,47.0,
Beijing,2016-11-01,133.0,28~315,light pollution,100.0,134.0,1.797,11.0,68.0,28.0,
Beijing,2016-12-01,168.0,54~431,moderately pollution,133.0,159.0,2.51,17.0,80.0,28.0,
Beijing,2017-01-01,146.0,34~470,light pollution,116.0,131.0,2.203,18.0,65.0,41.0,
Beijing,2017-02-01,100.0,36~305,good,71.0,84.0,1.318,18.0,53.0,65.0,
Beijing,2017-03-01,94.0,40~273,good,63.0,84.0,0.913,11.0,50.0,86.0,
Beijing,2017-04-01,87.0,38~174,good,53.0,104.0,0.693,7.0,48.0,101.0,
Beijing,2017-05-01,134.0,53~500,light pollution,48.0,104.0,0.674,7.0,37.0,161.0,
Beijing,2017-06-01,125.0,50~200,light pollution,42.0,75.0,0.783,6.0,38.0,184.0,
Beijing,2017-07-01,118.0,38~208,light pollution,52.0,71.0,0.894,3.0,34.0,174.0,
Beijing,2017-08-01,85.0,34~162,good,38.0,56.0,0.803,3.0,35.0,131.0,
Beijing,2017-09-01,98.0,36~189,good,58.0,100.0,0.913,4.0,49.0,123.0,
Beijing,2017-10-01,84.0,25~221,good,57.0,63.0,0.923,3.0,46.0,47.0,
Beijing,2017-11-01,75.0,30~201,good,46.0,73.0,0.903,5.0,49.0,44.0,
Beijing,2017-12-01,81.0,23~254,good,44.0,68.0,1.09,8.0,49.0,25.0,
Beijing,2018-01-01,64.0,28~176,good,34.0,65.0,0.768,7.0,39.0,48.0,
Beijing,2018-02-01,80.0,32~218,good,50.0,72.0,0.786,9.0,31.0,70.0,
Beijing,2018-03-01,115.0,0~283,light pollution,82.0,104.0,1.003,9.0,53.0,81.0,
Beijing,2018-04-01,98.0,36~256,good,59.0,108.0,0.673,6.0,38.0,115.0,
Beijing,2018-05-01,91.0,0~169,good,45.0,85.0,0.648,4.0,36.0,134.0,
Beijing,2018-06-01,111.0,44~190,light pollution,43.0,67.0,0.7,4.0,32.0,168.0,
Beijing,2018-07-01,89.0,28~156,good,44.0,48.0,0.787,3.0,24.0,135.0,
Beijing,2018-08-01,83.0,35~152,good,31.0,46.0,0.745,3.0,26.0,133.0,
Beijing,2018-09-01,60.0,30~132,good,28.0,45.0,0.543,3.0,34.0,93.0,
Beijing,2018-10-01,74.0,26~203,good,42.0,59.0,0.668,4.0,45.0,70.0,
Beijing,2018-11-01,108.0,39~270,light pollution,71.0,104.0,1.07,7.0,60.0,37.0,
Beijing,2018-12-01,71.0,0~232,good,38.0,73.0,0.835,7.0,46.0,40.0,
Beijing,2019-01-01,81.0,30~267,good,51.0,80.0,0.997,9.0,50.0,44.0,
Beijing,2019-02-01,80.0,32~180,good,53.0,72.0,0.807,6.0,35.0,65.0,
Beijing,2019-03-01,85.0,39~233,good,52.0,80.0,0.635,5.0,39.0,86.0,
Beijing,2019-04-01,84.0,39~171,good,48.0,91.0,0.547,4.0,34.0,103.0,
Beijing,2019-05-01,93.0,47~195,good,37.0,78.0,0.503,4.0,34.0,143.0,
Beijing,2019-06-01,121.0,36~193,light pollution,39.0,60.0,0.713,4.0,27.0,179.0,
Beijing,2019-07-01,108.0,33~173,light pollution,37.0,50.0,0.661,3.0,27.0,159.0,
Beijing,2019-08-01,72.0,28~150,good,23.0,37.0,0.571,3.0,26.0,118.0,
Beijing,2019-09-01,97.0,33~178,good,36.0,58.0,0.67,3.0,33.0,151.0,
Beijing,2019-10-01,68.0,23~163,good,40.0,66.0,0.681,3.0,41.0,42.0,
Beijing,2019-11-01,76.0,30~183,good,44.0,78.0,0.797,5.0,48.0,32.0,
Beijing,2019-12-01,73.0,28~233,good,44.0,60.0,0.845,4.0,46.0,37.0,
Beijing,2020-01-01,86.0,30~221,good,59.0,65.0,0.955,6.0,40.0,53.0,
Beijing,2020-02-01,89.0,34~257,good,62.0,57.0,0.883,4.0,27.0,66.0,
Beijing,2020-03-01,63.0,36~153,good,35.0,53.0,0.484,4.0,25.0,84.0,
Beijing,2020-04-01,75.0,42~202,good,31.0,67.0,0.403,4.0,22.0,119.0,
Beijing,2020-05-01,85.0,36~204,good,36.0,62.0,0.603,4.0,23.0,124.0,
Beijing,2020-06-01,116.0,60~202,light pollution,32.0,67.0,0.567,3.0,23.0,174.0,
Beijing,2020-07-01,99.0,48~152,good,41.0,47.0,0.671,3.0,21.0,150.0,
Beijing,2020-08-01,80.0,27~135,good,28.0,41.0,0.645,3.0,22.0,131.0,
Beijing,2020-09-01,56.0,22~158,good,24.0,35.0,0.537,3.0,26.0,96.0,
Beijing,2020-10-01,72.0,26~185,good,42.0,70.0,0.561,3.0,41.0,60.0,
Beijing,2020-11-01,66.0,26~140,good,37.0,62.0,0.653,3.0,42.0,41.0,
Beijing,2020-12-01,56.0,27~97,good,28.0,56.0,0.619,5.0,38.0,40.0,
Beijing,2021-01-01,72.0,30~176,good,33.0,55.0,0.69,4.0,31.0,49.0,
Beijing,2021-02-01,94.0,36~257,good,61.0,75.0,0.804,4.0,28.0,73.0,
Beijing,2021-03-01,149.0,34~500,light pollution,64.0,66.0,0.703,3.0,35.0,71.0,
Beijing,2021-04-01,71.0,41~187,good,29.0,59.0,0.437,3.0,27.0,106.0,
Beijing,2021-05-01,84.0,38~253,good,18.0,49.0,0.419,3.0,21.0,122.0,
Beijing,2021-06-01,85.0,36~191,good,19.0,43.0,0.533,3.0,19.0,139.0,
Beijing,2021-07-01,71.0,29~125,good,16.0,32.0,0.574,2.0,14.0,121.0,
Beijing,2021-08-01,72.0,38~125,good,18.0,36.0,0.594,3.0,15.0,124.0,
